,Found as,Full name,InDefinitiveList,Start_species,End_species,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_location,End_location,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
48,Eudorylaimus antarcticus,Eudorylaimus antarcticus,True,1194,1196,6873,"common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*",True,Antarctica,Antarctica,9334,9335,"Yeates, G. W., Scott, M. B., Chown, S. L. & Sinclair, B. J. Changes in soil nematode populations indicate an annual life cycle at Cape Hallett, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
49,Eudorylaimus antarcticus,Eudorylaimus antarcticus,True,1194,1196,6873,"common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*",True,Arctic,Arctic,9417,9418,The future of soil invertebrate communities in polar regions: different climate change responses in the Arctic and Antarctic?,False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
50,Eudorylaimus antarcticus,Eudorylaimus antarcticus,True,1194,1196,6873,"common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*",True,Dry Valley,Dry Valley,9515,9517,The inter-valley soil comparative survey: the ecology of Dry Valley edaphic microbial communities.,True,True,False,False,False,False,True,True,,,,,,,,,,,,,,,True,True,True
51,Eudorylaimus antarcticus,Eudorylaimus antarcticus,True,1194,1196,6873,"common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*",True,McMurdo Dry Valleys of Antarctica,the McMurdo Dry Valleys of Antarctica,9602,9607,"Bamforth, S. S., Wall, D. H. & Virginia, R. A. Distribution and diversity of soil protozoa in the McMurdo Dry Valleys of Antarctica.",False,False,False,False,False,False,False,False,,,,,,,False,McMurdo Dry Valleys,McMurdo Dry Valleys,McMurdo Dry Valleys,McMurdo Dry Valleys,,McMurdo Dry Valleys,True,True,True,True
52,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,McMurdo Dry Valleys (Antarctica,the McMurdo Dry Valleys (Antarctica,134,139,We modelled co-occurrence and distribution of the three nematode species that dominate the soil food web of the McMurdo Dry Valleys (Antarctica).,False,False,False,False,False,False,False,False,,,,,,,False,McMurdo Dry Valleys,McMurdo Dry Valleys,McMurdo Dry Valleys,McMurdo Dry Valleys,,McMurdo Dry Valleys,True,True,True,True
53,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,McMurdo Dry Valleys,the McMurdo Dry Valleys,954,957,"To address this challenge in the present study, we targeted the soil ecosystem of the McMurdo Dry Valleys (MDVs) of Antarctica.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
54,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,Antarctica,Antarctica,961,962,"To address this challenge in the present study, we targeted the soil ecosystem of the McMurdo Dry Valleys (MDVs) of Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
55,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,Earth,Earth,984,985,"These valleys represent the largest ice-free area of the Antarctic continent, host the driest and coldest soils on Earth and are part of the US National Science Foundation",False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
56,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,Earth,Earth,1054,1055,"Species richness is indeed possibly the lowest on Earth and the harsh environmental conditions make it possible to identify the most important environmental determinants of species distribution (e.g., water availability)°°°.",False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
57,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,McMurdo Dry Valleys,the McMurdo Dry Valleys,4680,4683,"4 Map of the 220 km2 study area, in the McMurdo Dry Valleys.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
58,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,Antarctica°®,Antarctica°®,4981,4984,"At the same time, climatic changes are happening at increasing rates in some areas of Antarctica°®.",False,False,False,False,False,False,False,False,,,,Antarctica,,Antarctica,True,,,,,,,False,False,True,True
59,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,Dry Valleys,the Dry Valleys,5196,5198,"ictar.aq), which was initiated during the International Polar Year 2007-2008, and drew a diverse range of international expertise to profile the biology, geochemistry, geology, and climate of the Dry Valleys (Fig. 4).",False,False,False,False,False,False,False,False,Dry Valley,Dry Valley,,,,,True,,,,,,,False,True,True,True
60,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,Dry Valley,Dry Valley,5226,5228,The study is among the most comprehensive landscape-scale biodiversity surveys undertaken and includes nearly all trophic components found in the Dry Valley ecosystem.,True,True,False,False,False,False,True,True,,,,,,,,,,,,,,,True,True,True
