,geonameid,name,asciiname,latitude,longitude,country code
186734,6630840,Carnein Glacier,Carnein Glacier,-74.68333,162.9,AQ
186735,6630841,Allemand Peak,Allemand Peak,-78.4,158.6,AQ
186736,6630842,Carnell Peak,Carnell Peak,-79.46667,-85.28333,AQ
186737,6630843,"Carnes, Mount","Carnes, Mount",-77.65,161.35,AQ
186738,6630844,Caroline Bluff,Caroline Bluff,-61.90925,-57.655530000000006,AQ
186739,6630845,"Caroline Mikkelsen, Mount","Caroline Mikkelsen, Mount",-69.75083000000001,74.39583,AQ
186740,6630846,"Caroline, Mont","Caroline, Mont",-66.66333,140.01333,AQ
186741,6630847,Carpenter Island,Carpenter Island,-72.68333,-97.95,AQ
186742,6630848,Carpenter Nunatak,Carpenter Nunatak,-73.49278000000001,61.335,AQ
186743,6630849,"Carrara, Mount","Carrara, Mount",-74.8907,-71.45814,AQ
186744,6630850,Allen Knoll,Allen Knoll,-63.66264,-58.61974,AQ
186745,6630851,"Carrefour, Le","Carrefour, Le",-66.82833000000001,139.30444,AQ
186746,6630852,"Le Mauguen, Ile","Le Mauguen, Ile",-66.67,140.01,AQ
186747,6630853,"Carrion, paso","Carrion, paso",-66.18333,-61.916669999999996,AQ
186748,6630854,"Carrizo, morro","Carrizo, morro",-63.15,-55.583330000000004,AQ
186749,6630855,Carro Pass,Carro Pass,-63.9463,-58.11909,AQ
186750,6630856,Carroll Inlet,Carroll Inlet,-73.3,-78.5,AQ
186751,6630857,"Carroll, Canal","Carroll, Canal",-73.0,-78.75,AQ
186752,6630858,"Carroll, Mount","Carroll, Mount",-63.43408,-57.06196,AQ
186753,6630859,Carryer Glacier,Carryer Glacier,-71.28333,162.63333,AQ
186754,6630860,Allen Peak,Allen Peak,-77.56667,-86.85,AQ
186755,6630861,"Carr, Cape","Carr, Cape",-66.11667,130.71667,AQ
186756,6630862,Carse Point,Carse Point,-70.22957,-68.18369,AQ
186757,6630863,"Carson, Mount","Carson, Mount",-73.45,163.18333,AQ
186758,6630864,Carstensfjella,Carstensfjella,-67.975,44.05,AQ
186759,6630865,Carter Island,Carter Island,-73.98333000000001,-114.95,AQ
186760,6630866,Carter Peak,Carter Peak,-70.32778,64.21972,AQ
186761,6630867,Carter Ridge,Carter Ridge,-72.61667,167.61667,AQ
186762,6630868,Carterknattane,Carterknattane,-80.65833,-19.10833,AQ
186763,6630869,"Cartledge, Mount","Cartledge, Mount",-70.28389,65.70028,AQ
186764,6630870,Mount Allen Young,Mount Allen Young,-83.45,166.86667,AQ
186765,6630871,Cartographers Range,Cartographers Range,-72.35,167.83333000000002,AQ
186766,6630872,"Cartwright, Mount","Cartwright, Mount",-84.35,175.13333,AQ
186767,6630873,"Casabianca, islote","Casabianca, islote",-64.81151,-63.51121,AQ
186768,6630874,Cascade Bluff,Cascade Bluff,-84.95,-178.16666999999998,AQ
186769,6630875,"Casco, Point","Casco, Point",-62.98333,-60.666669999999996,AQ
186770,6630876,Case Island,Case Island,-73.2492,-77.95982,AQ
186771,6630877,Casey Bay,Casey Bay,-67.5,48.0,AQ
186772,6630878,Casey Glacier,Casey Glacier,-69.01965,-63.910669999999996,AQ
186773,6630879,"Casey, ensenada","Casey, ensenada",-68.99365,-63.4607,AQ
186774,6630880,Casey Islands,Casey Islands,-64.72953000000001,-64.25395999999999,AQ
186775,6630881,"Allen, Cape","Allen, Cape",-83.55,171.0,AQ
